titreOriginal,anneeSortie,langue,genre
Prowl,2010,Anglais,
Neanderthal Man,1953,Anglais,
Brain Eaters,1958,Anglais,
Episode 50,2011,Anglais,
Daylight Fades,2010,Anglais,
Human Centipede 2 (Full Sequence),2011,Anglais,
11-11-11,2011,Anglais,
Only God Forgives,2013,Anglais,
Chants Du Capricorne,1995,,Musical
Film Muet / Silent Movie,1994,Muet,Autres
Térieurs,1991,,Autres
Béryl Blanc,1982,,Autres
Lettre De Louise Guay À Nietzche,1982,,Autres
Femmes De Rêve,1979,,Autres
Punk Is The Best Fuck The Rest,1982,,Autres
Ecominga,2013,Espagnol,Documentaire
Vent Solaire,2011,Français,
For Y'Ur Height Only,1981,Tagal,
Noisy Night,1988,Sans paroles,
Volcano,1988,,
Babylon,1994,,Autres
Thus Spoke Tzarathustra,1983,,Autres
Sur Les Traces De Maria Chapdelaine,2015,Français,Documentaire
No Parking,1982,,Autres
25Th Reich,2012,Anglais,
Quebecause,1982,,Autres
And Once They Have Tasted Freedom,1981,,Autres
Anna Banana And Bill Gaglione : Futurist Sound,1981,Anglais,Autres
Danika,2006,Anglais,
It'S Alive,2009,Anglais,
Marvel 14 : Les Super-Héros Contre La Censure,2011,Français,Documentaire
Not Of This Earth,1957,Anglais,
Bill Vazan Artiste Cosmographe,1981,,Documentaire
Fertile Ground,2011,Anglais,
Su Qi-Er,2010,Mandarin,
Scorpion King 3 : Battle For Redemption,2012,Anglais,
Rogue River,2012,Anglais,
Fragments De Vie,1999,Français,
Minnesota Clearing,1979,,Autres
Transcience,1980,,Autres
Changing Parts,1984,,Autres
I.T.- Immatriculation Temporaire,2001,Français,
Public Stories,1981,,Autres
Let Him Talk,1981,,Autres
Daresalam,2001,Arabe,
Bintou,2001,,
Ain'T Them Bodies Saints,2013,Anglais,
All Is Lost,2013,Anglais,
As I Lay Dying,2013,Anglais,
Strange Course Of Events,2013,Hébreu,
Bends,2013,Cantonnais,
Man Tam,2013,Portugais,
Blue Ruin,2013,Anglais,
Entre New-York Et Montréal,1981,,Autres
Bombay Talkies,2013,Anglais,
Borgman,2013,Néerlandais,
Con La Pata Quebrada,2013,Espagnol,Documentaire
Dabba,2013,Anglais,
Danza De La Realidad,2013,Espagnol,
Dast-Neveshtehaa Nemisoosand,2013,Persan,
Death March,2013,Tagal,
Dernier Des Injustes,2013,Allemand,Documentaire
Dueños,2013,Espagnol,
Escale,2013,Français,Documentaire
For Those In Peril,2013,Anglais,
"Garçons Et Guillaume, À Table",2013,Français,
Heli,2013,Espagnol,
Henri,2013,Français,
Ilo Ilo,2013,Anglais,
Image Manquante,2013,,Documentaire
Inside Llewyn Davis,2013,Anglais,
Jaula De Oro,2013,Espagnol,
Jeune & Jolie,2013,Français,
Jimmy P.,2013,Anglais,
Jodorowsky'S Dune,2013,Anglais,Documentaire
Last Days On Mars,2013,,
Magic Magic,2013,Anglais,
Max Rose,2013,Anglais,
Mayor,2013,Russe,
Miele,2013,Italien,
Monsoon Shootout,2013,Hindi,
Muhammad Ali'S Greatest Fight,2013,Anglais,
My Sweet Pepper Land,2013,Arabe,
Nebraska,2013,Anglais,
Nos Héros Sont Morts Ce Soir,2013,Français,
Omar,2013,Arabe,
On The Job,2013,Tagal,
Only Lovers Left Alive,2013,Anglais,
Opium,2013,Français,
Rencontres D'Après Minuit,2013,Français,
Salvo,2013,Italien,
Seduced And Abandoned,2013,Anglais,Documentaire
Selfish Giant,2013,Anglais,
Soshite Chichi Ni Naru,2013,Japonais,
Stop The Pounding Heart,2013,Anglais,
Suzanne,2013,Français,
Tian Zhu Ding,2013,Mandarin,
Tip Top,2013,Arabe,
Tore Tanzt,2013,Allemand,
Ugly,2013,Hindi,
Un Château En Italie,2013,Anglais,
Vénus À La Fourrure,2013,Français,
Verano De Los Pecas Voladores,2013,Espagnol,
Vie D'Adèle,2013,Français,
Latensificateur,1986,,Autres
Wakolda,2013,Allemand,
Wara No Tate,2013,Japonais,
We Are What We Are,2013,Anglais,
Zulu,2013,Anglais,
Grand Central,2013,Français,
Appel,1998,Français,
Un Voyageur,2013,Allemand,Documentaire
Yellow Card,2000,Anglais,
Ini Avan,2013,Tamil,
Star Trek Into Darkness,2013,Anglais,
After Earth,2013,Anglais,
Amore Carne,2013,Italien,Documentaire
Apaches,2013,Français,
Attentat,2012,Arabe,
Look Of Love,2013,Anglais,
Animaniac,1987,,Autres
Bambi,2013,Français,
Call,2013,Anglais,
"Chez Nous, C'Est Trois!",2013,Français,
Congress,2013,Anglais,
Nothing,1987,,Autres
Nichnasti Pa'Am Lagan,2012,Arabe,Documentaire
Demi-Soeur,2013,Français,
Dreamers,2013,Français,Documentaire
Frances Ha,2012,Anglais,
Grisgris,2013,Arabe,
Kapringen,2012,Danois,
Iceman,2012,Anglais,
Jeunesse,2012,Français,
Juliette,2013,Français,
Metro Manila,2013,Tagal,
Michael Kohlhaas,2013,Allemand,
Millefeuille,2013,Arabe,
Zio Di Brooklyn,1995,Italien,
Pouvoir,2013,Français,Documentaire
Salauds,2013,Français,
Big Wedding,2013,Anglais,
Luna In Thailanda,2012,Roumain,
Mantric Mandalas,1977,,Autres
Dream Sequence,1977,,Autres
Bach,1977,,Autres
Candu,1977,,Autres
Bébé,1987,,Autres
Grenouille Et Le Beüfe,1966,,Autres
Chaise,1986,,Autres
Liquid Transe,1995,Sans paroles,Autres
Mou,1999,Français,Autres
Je M'Accuse,1998,Français,Autres
San Zimei,2012,,Documentaire
Neues Produkt,2012,,Documentaire
Employee Of The Month,2006,Anglais,
Mitote,2012,,Documentaire
Otro Dia,2012,Espagnol,Documentaire
Reflux,2013,,Documentaire
Touch,2013,,Documentaire
Une Jeunesse Amoureuse,2013,,Documentaire
Visages D'Une Absente,2013,,Documentaire
"Werner Nold, Cinéaste-Monteur",2003,Français,Documentaire
Chien,1990,,Autres
Ma Toilette D'Amour,1989,,Autres
Bouches Trough,1989,,Autres
Jui Kuen,1978,,Autres
Il Était Une Fois,1987,,Autres
Noun,1987,,Autres
Infortune De La Vertu,1987,,Autres
Aqua,1987,,Autres
Mouvements Sur Tambour,1988,,Autres
"François Cauvin, Oeuvres Du Québec",1994,,Autres
And You Thought Your Parents Were Weird,1991,Anglais,
Facteur Réalité,1985,,Autres
Fararishtay Kifti Rost,2002,,
Invitation To Archery,1977,Anglais,Documentaire
Mastering The Bow And Arrow Sports,1977,Anglais,Documentaire
Advanced Shooting Techniques,1978,Anglais,Documentaire
Fundamentals Of Archery,1978,Anglais,Documentaire
Basketball : Pressure Team Defense,1970,Anglais,Documentaire
Basketball : Techniques Of Ball Handling,1976,Anglais,Autres
Basketball : Techniques Of Defense,1976,Anglais,Autres
Biochemistry And Molecular Structure,1964,Anglais,Documentaire
Pain & Gain,2013,Anglais,
Awkward Customers,1973,Anglais,Documentaire
Autour De Pierre Perrault : 14 Décembre 2012,2013,Français,
"Instants Privilégiés, Marcel Barbeau Et Vincent Dionne",1976,,Documentaire
Waterboy,1998,Anglais,
Deceptive Practice : The Mysteries And Mentors Of Ricky Jay,2012,,Documentaire
Cure For The Crash... The Art Of Train Hoppin',2011,,
Discopath,2013,Anglais,Autres
Nourrir Sa Foi,2013,,
Pinup Dolls On Ice,2013,Anglais,
Cochemare,2013,Anglais,
Subconcious Password,2013,,Animation
Mechanism Of Moisture Movement In Wood,1965,Anglais,Documentaire
After Tiller,2013,,Documentaire
Spectacular Now,2013,Anglais,
Canyons,2013,Anglais,
Rewards Of Rewarding,1973,Anglais,Documentaire
Pacific Rim,2013,,
Just Like In The Movies,2005,,
Robotics : Isaac Asimov'S Artificial Man,1980,Anglais,Documentaire
Sculpteur Moderne,1908,,
Histoire Sans Parole : À L'Est Rien De Nouveau,1934,,
Trois Thèmes,1980,,
Fortune Enchantée,1936,,
Anatole Fait Du Camping,1948,,
Your First Six Years,1968,Anglais,Documentaire
Sociobiology : Doing What Comes Naturally,1976,Anglais,Documentaire
Theory X And Theory Y : Work Of Douglas Mcgregor,1969,Anglais,Documentaire
Cavalieri Di Malta,1971,Italien,Documentaire
Moulin À Images,2008,,
Un Motocycliste Vu Par Un Automobiliste,1975,,Documentaire
Un Valet De Coeur,1972,Français,Autres
Personal Values,1972,Anglais,Autres
Correct Way Of Correcting,1973,Anglais,Documentaire
Foreman Discovers Motion Study,1954,Anglais,Documentaire
Tous Les Nuages Sont Des Horloges,1988,,
Triumph,1924,Anglais,
Bell & Howell. The New Filmosound 202 Projector,1952,Anglais,
Crónica De Un Baile De Muñeco,2000,,Documentaire
Château De Pointilly,1972,Français,
Watch_Dogs,2013,,
Fisica Dell'Acqua,2009,Italien,
Mercredis De Rose,2010,Français,
Même Pas Mal,2012,Français,Documentaire
Zoo Zéro,1979,Français,
Cosmos Sauvera Le Peuple,2012,,
Cosaque Et La Gitane,2012,,Documentaire
Hangover : Part 3,2013,Anglais,Comédie
Now You See Me,2013,Anglais,
"Algonquin Park, Early March",2002,,
Listen To Britain,2002,,Autres
Nutrition : You Are What You Eat,1976,Anglais,Autres
Notre-Dame-De-La-Salette,1990,Français,Autres
No Second Chance,1991,Anglais,Autres
Two Impossible Films,1995,,
Musician'S Tale,1982,,Animation
Mozart'S Wonderland,1950,,
Matching Up,1969,,Autres
Making Books,1947,Anglais,Documentaire
M'Bolo Gabon,1967,,
Lithography,1952,,Documentaire
Life Begins,1934,,Documentaire
Library Story,1952,Anglais,Documentaire
White Lies,1983,Anglais,
Crocodiles,1981,Anglais,Documentaire
Beaver Family,1982,Anglais,Documentaire
Animal Babies,1983,Anglais,Documentaire
Gerontophilia,2013,Anglais,
Federal Hill,1994,Anglais,
Outside Providence,1999,Anglais,
Bad,1977,Anglais,
Bedtime For Bonzo,1951,Anglais,
Up In Smoke,1978,Anglais,
Oreilles Du Roi Midas,1965,,
Vêtements Du Roi,1965,,
Chemicals To Count On,1975,Anglais,Documentaire
Past And The Future,1975,Anglais,Documentaire
Cygnes Sauvages,1965,,
This Way To Safety,1974,Anglais,Documentaire
Saisons,1989,,Documentaire
Death To Smoochy,2002,Anglais,
Vent Du Nord Et Le Soleil,1965,,
Rêve D'Icare,1979,Anglais,Documentaire
"Chat, La Belette Et Le Petit Lapin",1964,Français,
Shortgrass Prairies : 1,1980,Anglais,Documentaire
Shortgrass Prairies : 2,1980,Anglais,Documentaire
Sécurité À Bicyclette : La Bonne Conduite,1980,Anglais,Documentaire
People And Productivity : We Learn From Japanese,1982,Anglais,Documentaire
Survival Quest,1988,Anglais,
Escape To Athena,1979,Anglais,
World War I : The Politics Of Peacemaking,1983,Anglais,Documentaire
"World War I : Background Tensions, 1870-1914",1983,Anglais,Documentaire
"World War I : Fighting On Two Fronts, 1914-1918",1983,Anglais,Documentaire
Poule Aux Oeufs D'Or,1965,Français,Animation
Peacock,2010,,
Howling : Reborn,2011,Anglais,
Man From Beyond,1922,,
Daisy Chain,2008,Anglais,
Alyce,2011,Anglais,
Dead Line,2009,,
Carjaked,2011,Anglais,Crime
Dr. Phibes Rises Again,1972,Anglais,
100 Bloody Acres,2012,Anglais,
White House Down,2013,,
Bataille De Solférino,2013,Français,
Elle S'En Va,2013,Français,
Blue Jasmine,2013,Anglais,
Crude Awakening : The Oil Crash,2006,Anglais,Documentaire
Gare Du Nord,2013,Anglais,
Broken Circle Breakdown,2012,Anglais,
Aya De Yopougon,2012,Français,
Cha Cha Cha,2013,Italien,
Chair De Ma Chair,2013,Français,
Tutti I Santi Giorni,2012,Italien,
Cinquième Saison,2012,Français,
Últímos Días,2013,Catalan,
East,2013,Anglais,
Gold,2013,Allemand,
It Felt Like Love,2013,Anglais,
Je Ne Suis Pas Mort,2012,Français,
Landes,2013,Français,
Leggenda Di Kaspar Hauser,2012,Anglais,
Magnifica Presenza,2012,Italien,
Marius,2013,Français,
Fanny,2013,Français,
Océane,2013,Français,
Oggy Et Les Cafards,2013,Français,
Pour Une Femme,2013,Français,
Prochain Film,2013,Français,
"Tirez La Langue, Mademoiselle",2013,Français,
Gözetleme Kulesi,2012,Turc,
Une Place Sur La Terre,2013,Français,
Yema,2013,Arabe,
You'Re Next,2011,Anglais,
Theatre Of The Dead,2013,Anglais,
Meetings With A Young Poet,2013,Anglais,
1Er Amour,2013,Français,
Snuff,1976,,
Rush,2013,Allemand,
Ra. One,2011,Anglais,
Hunters,2011,Anglais,
22 Mei,2010,Français,
Hell,2011,Allemand,
Caller,2011,Anglais,
Foeksia De Miniheks,2010,Néerlandais,
Ghost Machine,2009,Anglais,
Axed,2012,Anglais,
Freerunner,2011,Anglais,
2033,2009,Espagnol,
Casa Nel Vento Dei Morti,2012,Italien,
Bloody Hell,2011,Anglais,
Rage,2010,Anglais,
Lone Ranger,2013,Anglais,
Grigris,2013,,
Leçon De Cinéma Avec Serge Giguère,2013,Français,
Discussion Entre Babette Mangolte Et Malcom Turvey,2013,Anglais,
Jour Nous Écoute,2013,,Animation
Nothing Like The Holidays,2008,Anglais,
Trouble The Water,2008,Anglais,Documentaire
Discussion Avec Michael Snow Et Paul Wombell,2013,Anglais,
Springen,1986,Allemand,
Free Radicals : A History Of Experimental Film,2012,Anglais,Documentaire
Cyanure,2013,Français,
Madame Solario,2012,Français,
Thérèse: The Story Of Saint Thérèse Of Lisieux,2004,Anglais,
Incredible Burt Wonderstone,2013,Anglais,
"Kateb Yacine, L'Amour Et La Révolution",1989,Français,Documentaire
Courier,1988,Anglais,
Mostro Dell'Opera,1964,Italien,Sf
Boia Scarlatto,1965,Italien,Sf
Obitaemyy Ostrov,2008,Russe,
Fading Of The Cries,2011,Anglais,
Dead Season,2012,Anglais,
Sutures,2009,Anglais,
En La Afueres De La Ciudad,2012,Espagnol,
Porto Dos Mortos,2010,Portugais,
Une Jeune Fille,2013,Français,
Mémoire De L'Eau,1996,Français,
Last Of Us,2013,,
Du Zhan,2012,Cantonnais,
Much Ado About Nothing,2012,Anglais,
Captain Phillips,2013,Anglais,
Porgandite Öö,1998,,Animation
1895,1995,,Animation
"Brigitte Bardot, La Méprise",2013,Français,Documentaire
Giorno Speciale,2012,Italien,
Mon Âme Par Toi Guérie,2013,Français,
Momo E No Tegami,2011,Japonais,
Sur Le Chemin De L'École,2013,Français,Documentaire
Conquérants,2013,Français,
Chevreuil,2012,Français,
Flammable,2013,,
Furieuse,2015,,
Être Chinois Au Québec,2012,Français,Comédie
Gloria Victoria,2012,Sans paroles,Animation
Watermark,2013,,Documentaire
Trouble In The Peace,2012,,Documentaire
When Jews Were Funny,2013,Anglais,Documentaire
Mechanical Love,2007,,Documentaire
Family,2001,,Documentaire
Free The Mind,2012,,Documentaire
Forest Of The Dancing Spirits,2013,,Documentaire
Toata Lumea Din Familia Noastra,2012,Roumain,
Nugu-Ui Ttal-Do Anin Haewon,2013,Anglais,
Robert Sans Robert,2013,Français,Documentaire
Au Bonheur Des Ogres,2013,Français,
Mejores Temas,2012,Espagnol,
Confrérie Des Larmes,2013,Français,
Conjuring,2013,Anglais,
Glimpse Inside The Mind Of Charles Swan Iii,2012,Anglais,
Draussen Ist Sommer,2012,Allemand,
Diana,2013,Anglais,
Elysium,2013,Anglais,
Heat,2013,Anglais,
Imagine,2013,Anglais,
Strong Boy : Preview,1929,,
Girl Most Likely,2012,Anglais,
Jobs,2013,Anglais,
Gaigimet,2012,Géorgien,
Death For Sale,2011,Arabe,
Vergiss Mein Nicht,2012,Allemand,Documentaire
Nordvest,2013,Danois,
Prince Avalanche,2013,Anglais,
Won In A Cupboard,1914,,
Planes,2013,Anglais,
Rock The Casbah,2013,Anglais,
Sweetwater,2013,Anglais,
Tendresse,2013,Français,
Vie Domestique,2013,Français,
Wolverine,2013,Anglais,
Active Life Of Dolly Of The Dailies : Episode 5 : The Chinese Fan,1914,,
Andy'S Stump Speech,1924,,
Happy Go Luckies,1923,,
Vocabulary,1973,,
Prisoners,2013,Anglais,Crime
Comme Hamlet,2013,Anglais,Autres
Alcohol : How Much Is Too Much?,1976,,Autres
Amsterdam,2013,Français,
Garde,2013,Français,
Collage Of Sacred And Secular History,1987,Anglais,Documentaire
Jerusalem And The Jewish Tradition,1987,Anglais,Documentaire
Jerusalem And The Christian Tradition,1987,Anglais,Documentaire
Jerusalem And The Muslim Tradition,1987,Anglais,Documentaire
Israel : The Holy Land,1988,,Documentaire
Instruments Of The Orchestra,1947,,Documentaire
Imprinting,1968,,Documentaire
Images Stendhaliennes,1965,Français,
Holiday In Holland,1956,Anglais,Documentaire
Passing,1956,Anglais,Documentaire
9 Mois Ferme,2013,Français,Comédie
Haute École Du Ski,1962,Français,Documentaire
Hamilton The Musical Elephant,1961,Anglais,Animation
Gymnastics Flashbacks,1975,,Documentaire
Gravity,2013,Anglais,
Snowpiercer,2013,,
Història De La Meva Mort,2013,Catalan,
"Great Moments In Canadian Sports : Vol. 1, 1900-1950",1977,Anglais,Documentaire
"Great Moments In Canadian Sports : Vol. 2, The Fabulous Fifties",1977,Anglais,Documentaire
"Great Moments In Canadian Sports : Vol. 3, Sensational Sixties",1980,Anglais,Documentaire
Goliath Ii,1960,Anglais,Animation
12 Years A Slave,2013,Anglais,
"Araignées, Chauve-Souris",1975,Français,Documentaire
"Fourmi, Fourmilion",1975,Français,Documentaire
Feuilles D'Automne,1952,Français,
Exotic Bali,1957,,Documentaire
Ex Indochine,1959,Français,Documentaire
Mille Soleils,2013,Wolof,
"Norte, Hangganan Ng Kasaysayan",2013,Anglais,
At Berkeley,2013,Anglais,Documentaire
E Agora? Lembra-Me,2013,Portugais,Documentaire
Pardé,2013,Persan,
Spell To Ward Off The Darkness,2013,,Documentaire
Étrange Couleur Des Larmes De Ton Corps,2013,Français,
Come Worry With Us!,2013,,
Ariel,2013,Espagnol,Documentaire
Gouffres,2012,Français,
Mademoiselle Docteur,1937,Français,
Lisboa Orchestra,2013,,Documentaire
Swing Absolu,2013,Français,
Everybody'S Wedeln 1,1960,Anglais,Documentaire
Everybody'S Wedeln 2,1960,Anglais,Documentaire
Decade In The Air,1955,,Documentaire
Nous Ne Serons Plus Jamais Seuls,2012,Sans paroles,
Ma Belle Grosse,2012,,
Quai D'Orsay,2013,Français,
Déracinements,1958,,Documentaire
Jasmine,2013,Français,Animation
2084 : Video Clip Pour Une Réflexion Syndicale Et Pour Le Plaisir,1984,Français,Documentaire
Autoportrait Sans Moi,2013,,
Tom À La Ferme,2013,Français,
Autre Maison,2013,Français,
Au Nom Du Fils,2012,Français,
Langue À Terre,2013,Français,Documentaire
Déchirés / Graves,2013,Français,Documentaire
Drei Wege Zum See,1976,Allemand,
Lemminge : Arkadien,1979,Allemand,
Macka,1971,Italien,Animation
Lemminge : Verletzungen,1979,Allemand,
Rebellion,1993,Allemand,
"I Love You, Too",1991,,Animation
From Chris To Christo,1985,Français,Documentaire
Mémoires Pour Simone,1986,Français,Documentaire
Port Nolloth : Between A Rock And A Hard Place,2012,Anglais,Documentaire
Océan,2013,Français,
Arwad,2013,Arabe,Autres
Gambozinos,2013,Portugais,
Strange Factories,2013,,
Al Midan,2013,,
Escape From Tomorrow,2013,,
These Birds Walk,2013,,Documentaire
Burn,2012,,Documentaire
Voice Thief,2013,,
Riddick,2013,,
Thor : The Dark World,2013,Anglais,
Pour La France,2012,Anglais,
Vikingar,2013,Islandais,
Tableau,2013,Français,
Petit Matin,2013,Français,
Où Je Mets Ma Pudeur,2013,Français,
Kingston Avenue,2012,Anglais,
Devil'S Knot,2013,Anglais,
Québékoisie,2013,Français,Documentaire
Nu Perdu,2013,Anglais,Documentaire
Bà Noî,2013,Français,Documentaire
Girl Of Wall,2011,Japonais,
Atlantic Avenue,2012,Anglais,
Quepa Sur La Vilni !,2013,Français,
"Nos Jours, Absolument, Doivent Être Illuminés",2012,Français,Documentaire
Jour A Vaincu La Nuit,2012,Français,Documentaire
Beware! The Blob,1972,,
Unseen,1980,,
Fugue,2013,Français,
Lisières,2013,Français,
Ce Que Mon Amour Doit Voir,2013,Portugais,
Face Cachée Des Clubs De Danseurs Nus À Montréal,2013,Français,Autres
Ouvroir The Movie,2010,,Animation
Stopover In Dubai,2011,,Documentaire
Metallica Through The Never,2013,Anglais,
Papillon Cerise,1997,Français,Autres
Mes Amis Les Poissons,1998,,Autres
Outil N'Est Pas Toujours Un Marteau,1999,,
J'Ai Tout Compri,2001,,
Paris Chouchou,2003,,
Il N'Est Pas Innocent Que Le Bonheur Soit Heureux,2003,,
Une Femme Est Une Femme Et Moi Aussi,2006,,
Artiste Surprise,2010,,
Bien Sûr,2010,,
Violette,2013,Français,
Mes Séances De Lutte,2013,Français,
Andere Heimat : Chronik Einer Sehnsucht,2013,Allemand,
Amazonia,2013,Portugais,Documentaire
Attila Marcel,2013,Français,
Avec Dédé,2013,Français,Documentaire
Baikonur,2011,Anglais,
"Barcelona, Abans Que El Temps Ho Esborri",2010,Catalan,Documentaire
Blood Ties,2013,Anglais,
O Que Se Move,2013,Portugais,
Cinema Komunisto,2011,Serbo-croate,Documentaire
En Solitaire,2013,Français,
Enfants Valises,2013,Français,Documentaire
Eyjafjallajökull,2013,Français,
Fifi Az Khoshhali Zooze Mikeshad,2013,Persan,Documentaire
Gibraltar,2013,Anglais,
Ô Heureux Jours!,2013,Français,Documentaire
About Time,2013,Anglais,
Family,2013,Anglais,
Parkland,2013,Anglais,
Pingkeu,2011,Coréen,
Runner Runner,2013,Anglais,
Ruée Vers L'Art,2013,Français,Documentaire
2 Guns,2013,Anglais,
Vandal,2013,Français,
Victor Young Perez,2013,Français,Historique
Vietnam Paradiso,2002,Français,Documentaire
Exercice In Discipline : Peel,1982,,
Dallas Buyers Club,2013,Anglais,
Il Était Une Fois Les Boys,2013,Français,
Andrzej Wajda : Robmy Zdjecie!,2009,Polonais,Documentaire
Naissances,2009,Français,Autres
D.O.A.,1980,,Documentaire
Story Of A Junkie,1987,,Documentaire
Hey! Is Dee Dee Home?,2002,,Documentaire
Megacities,1998,,Documentaire
Counselor,2013,Anglais,
After.Life,2009,Anglais,
Seventh Son,2014,Anglais,
Arrow,2012,Anglais,
Great Ghost Rescue,2011,Anglais,
Moo-Jeok-Ja,2010,Anglais,
Hoshi O Ou Kodomo,2011,Japonais,
Wake Wood,2010,Anglais,
Night Of Nightmares,2012,Anglais,
Cell Count,2012,Anglais,
Tulpa : Perdizioni Mortali,2012,Italien,
Butler,2013,Anglais,
Sailor Who Fell From Grace With The Sea,1976,,
Den Skaldede Frisor,2012,Anglais,Comédie
Mortal Instruments : City Of Bones,2013,Anglais,Aventure
World'S End,2013,Anglais,Action
Danses De Montagnards,1956,,Documentaire
Un Royaume Déménage,2014,Français,Documentaire
Assassin'S Creed Iv : Black Flag,2013,,
Batman : Arkham Origins,2013,,
Je Suis Lesbienne» Montréal,2013,Français,Autres
Frozen,2013,Anglais,
End Of Pinky,2013,Anglais,Animation
Soupe Du Jour,2013,Anglais,Animation
Rue De L'Inspecteur / Inspector Street,2013,Sans paroles,Animation
Tito On Ice,2012,Anglais,Animation
City Of Playgrounds,1949,,Documentaire
Christmas Party,1982,Sans paroles,
Distancia Más Larga,2013,Espagnol,
Workers,2013,Espagnol,
Azul Y No Tan Rosa,2012,Espagnol,
Bonheur,2013,Français,
Stand Clear Of The Closing Doors,2013,Anglais,
Hi-Ho Mistahey!,2013,Anglais,Documentaire
Absences,2013,Français,Documentaire
Adore,2013,,
Chicken Little,1943,Anglais,
"Charles A. Lindbergh, ""The Lone Eagle""",1927,,Autres
Démagogue,1976,Sans paroles,Animation
Feu,1975,Sans paroles,Animation
Cirque,1976,Sans paroles,Animation
Masque,1976,Sans paroles,Animation
Art De L'Arc,1976,Sans paroles,Animation
Découverte De L'Arc,1976,Sans paroles,Animation
Somnambule,1976,Sans paroles,Animation
Cage,1976,Sans paroles,Animation
Porte-Monnaie,1976,Sans paroles,Animation
Voleur,1975,Sans paroles,Animation
Chien,1976,Sans paroles,Animation
Lettre À Marcel,1954,,
Chasse 2,1976,Sans paroles,Animation
Voisins,1976,Sans paroles,Animation
Invités,1976,Sans paroles,Animation
Oeuf,1976,Sans paroles,Animation
Casse-Tête Chinois,2013,Anglais,
F Word,2014,Anglais,
Death Of Alice Blue,2009,Anglais,
Emporium,1999,,
10 X Minutes Vidéo : Dix Artistes Célèbrent Les 50 Ans De L'Art Vidéo (1963-2013),2013,,
Enterrez Nos Chiens,2010,Français,
Larmes,2010,Français,
Ombre Des Arbres N'Existe Plus,2010,Français,
Magasins Ne Réfléchissent Pas La Nuit,2009,Français,
Nouvelle Lune,2009,Français,
Naufragé,2009,Français,
À Contre-Courant,2013,Français,Documentaire
Sea Turtle Story,2012,Anglais,Animation
Animal Project,2013,Anglais,Comédie
Assembly,2012,Anglais,Animation
Auctioneer,2012,Anglais,
Buying Sex,2013,Anglais,Documentaire
Constellation,2012,Français,Animation
Conte Du Mile End,2013,Anglais,Documentaire
Cottage Country,2013,Anglais,Action
"Deepa Mehta, De Profil",2012,Anglais,Documentaire
"Madagascar, Carnet De Voyage",2009,Français,Documentaire
Denis Marleau,2012,Français,Documentaire
Alpini,2010,Français,Documentaire
Expatriate,2012,Anglais,Action
Escape From Planet Earth,2012,Anglais,Animation
"À D'Autres, Variations Sur Des Photos De Guy Le Querrec",2010,,Documentaire
Exile - A Myth Unerthed,2012,Anglais,Documentaire
8 Et Des Poussières,2009,Français,
Lesser Blessed,2012,Anglais,
Legend Of A Warrior,2012,Anglais,Documentaire
Hot Dog,2013,Français,Comédie
Still Mine,2012,Anglais,
Our Man In Tehran,2012,Anglais,Documentaire
Movie Out Here,2012,Anglais,Comédie
Hold Fast,2013,Anglais,
Quel Plan Pour Le Nord?,2013,Français,Autres
Traces,2010,,Documentaire
Au Bout De La Ligne,2008,Français,Documentaire
Wolf Of Wall Street,2013,Anglais,
Québékoisie : Présentation Du Film Et Questions À Mélanie Carrier Et Olivier Higgins,2013,Français,
Munich 1938 : Présentation Du Film Et Questions À Marcel Ophuls,2013,Français,
À La Recherche De Mon Amérique : Présentation Du Film Et Questions À Marcel Ophuls,2013,Français,
Sense Of Loss : Présentation Du Film Et Questions À Marcel Ophuls,2013,Français,
Chagrin Et La Pitié : Présentation Du Film Et Questions À Marcel Ophuls,2013,Français,
Enemy,2013,Anglais,
Saving Mr. Banks,2013,Anglais,
Peinture Sur Verre Avec Martine Chartrand,2013,Français,
Atelier De Bruitage Avec Frédéric Lebrasseur,2013,Français,
Jérémy Clapin : L'Art Et La Manière,2013,Français,
"Table Ronde : Sexe, Femmes Et Cinéma D'Animation!",2013,Français,
Vidéoconférence D'Ari Folman,2013,Anglais,
Succession,2010,Français,Autres
American Hustle,2013,Anglais,
Suivra Le Jour,2012,Français,Animation
Petra'S Poem,2012,Anglais,Animation
Amour Est Un Crime Parfait,2013,,
Jalousie,2013,Français,
Jeppe On A Friday,2012,,Documentaire
Aporia,2013,Anglais,Autres
Almost Paradise,2013,Anglais,Autres
Search For Evangeline,2014,Anglais,Autres
À Propos Du Code,2014,Français,Autres
Réglettes Mathématiques,1962,,Animation
Avant L'Hiver,2013,Français,
Grzeli Nateli Dgeebi,2013,Géorgien,
Interdits,2013,Anglais,
"Ma Maman Est En Amérique, Elle A Rencontré Buffalo Bill",2013,Français,
Mademoiselle C,2013,Français,Documentaire
Dom S Bashenkoy,2012,Russe,
Marche,2013,Français,
Regard De Georges Brassens,2013,Français,Documentaire
Chader 514,2012,Hébreu,
Noche,2012,Espagnol,
Wajma,2013,Persan,
Zéro,2012,Arabe,
Too Much Johnson,1938,Anglais,
Faillir,2012,Français,
Une Question De Citation!!,1986,,Autres
Phantom Light,1935,,
Traffic In Souls,1913,,
Status Quo? : The Unfinished Business Of Feminism In Canada,2012,Anglais,Documentaire
I'Ll Follow You Down,2013,Anglais,Sf
No Clue,2013,Anglais,Comédie
Attention Féministes!,2011,Français,Documentaire
